name,SpAbs_A,AATS4d,AATS6d,AATS7d,AATS8d,AATS0v,AATS3v,AATS5v,AATS6se,AATS1p,AATS7p,AATS8p,AATS3i,AATS4i,AATS5i,AATS6i,AATS7i,AATS8i,ATSC7dv,ATSC8dv,ATSC3d,ATSC4d,ATSC6d,ATSC7d,ATSC8s,ATSC1p,ATSC3p,ATSC4p,ATSC5p,ATSC7p,ATSC3i,ATSC4i,ATSC5i,ATSC7i,AATSC1d,AATSC8d,AATSC1m,AATSC3se,AATSC1i,MATS2c,MATS5c,MATS7c,MATS8c,MATS1dv,MATS2dv,MATS3dv,MATS4dv,MATS6dv,MATS2d,MATS1s,MATS2s,MATS8s,MATS2m,MATS8m,MATS8v,MATS1se,MATS5se,MATS6se,MATS7se,MATS2p,MATS6i,MATS8i,GATS1c,GATS3c,GATS4c,GATS5c,GATS7c,GATS8c,GATS1dv,GATS3dv,GATS5dv,GATS5d,GATS7d,GATS1s,GATS2s,GATS4s,GATS6s,GATS7s,GATS8s,GATS1Z,GATS3Z,GATS7Z,GATS2m,GATS5m,GATS8m,GATS6v,GATS1se,GATS3se,GATS1p,GATS1i,GATS3i,GATS4i,GATS7i,BCUTc-1l,BCUTd-1l,BCUTse-1l,BCUTp-1h,BCUTp-1l,BalabanJ,FPSA3,FPSA5,RNCS,RPCS,TPSA,C1SP2,C2SP2,C3SP2,C2SP3,Xch-4d,Xc-6d,Xc-6dv,Xpc-4dv,AXp-1d,AXp-2d,AXp-3d,AXp-1dv,AXp-7dv,NssCH2,NsssCH,NaasC,NssssC,NsssN,SaasC,SaaaC,SssssC,SaaN,MAXsCH3,MAXssssC,MAXaaN,MINssCH2,MINaaCH,MINsssCH,MINaaaC,MINssNH,ETA_shape_y,AETA_beta_s,ETA_beta_ns_d,ETA_eta_FL,ETA_dAlpha_B,ETA_dEpsilon_D,fragCpx,fMF,GeomPetitjeanIndex,GRAVH,nHBAcc,IC2,IC4,SIC3,BIC2,CIC1,MIC3,ZMIC3,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState9,MDEC-12,MDEC-13,MDEC-14,MDEC-23,MDEC-33,MDEN-23,MID_h,MID_N,AMID_N,MID_O,MOMI-Y,MOMI-Z,PBF,piPC4,bpol,n6Ring,n5HRing,n6aHRing,nARing,nRot,SLogP,GGI6,GGI10,JGI2,JGI3,JGI4,JGI5,JGI7,JGI8,JGI9,JGI10,PetitjeanIndex,SRW02,SRW10,TSRW10,pIC50
Mol_1,30.1490978,2.871559633,3.142857143,2.607843137,2.126315789,228.7210587,205.8358082,199.3876022,7.559847516,1.815457789,1.30375115,1.108044915,159.3956329,165.4275857,165.2317763,153.8063512,160.0743946,165.9142684,-61.57168352,18.88816181,4.566329566,5.763236169,-20.04640095,-15.62343843,7.027662106,-0.263487227,-2.711544344,2.902027129,4.47496653,-5.895349234,-18.16602589,-14.30141499,64.65761975,-23.74205945,0.178811062,-0.037076928,0.791094068,-0.017246369,-0.35052553,0.164588343,-0.1841627,-0.090016765,0.01452365,0.31967521,0.072898597,-0.027072021,0.139669439,-0.110142093,-0.054676516,-0.11024413,0.23916506,0.048436496,0.150974487,-0.01289054,-0.069790875,-0.105491803,-0.441038909,0.137927504,-0.051481666,0.042893359,-0.163242915,0.010255018,1.541484724,1.230848154,0.735631986,1.433688949,0.812987387,0.838533065,0.475781622,0.943492056,1.591932728,1.152948685,1.072381766,0.765068572,0.425957132,0.521259421,0.434857437,0.730387065,1.01261634,0.748263736,1.17869915,1.105375659,0.706792304,1.373924679,1.054064942,1.189638965,0.851544743,1.145847214,1.05795461,1.388592403,1.20853583,1.010223403,1.127334521,-0.388551024,0.972832946,2.43550333,1.986406874,0.741606044,1.684233476,0.052179544,0.051133245,112.9314244,38.50358361,155.2400719,7,4,2,1,0,0,0,1.396880512,0.440165009,0.299036593,0.175032737,0.287183116,0.005017821,1,0,3,1,0,1.946139823,1.480747354,-0.660813413,17.2403219,1.821788076,-0.660813413,4.592906746,-0.033561429,1.659900321,0,0.687904856,3.227410478,0.268656716,0.666666667,0.5,6.630301367,0.034722222,0.042094017,124.07,0.390243902,0.41398036,4974.986699,6,4.521828529,4.832923346,0.883866805,0.793242057,1.570887121,40.5529447,26.32142222,10.423316,14.76249423,9.967957042,0,32.0465756,35.07913167,18.13436591,5.817862778,5.824404498,25.80722127,5.316788604,11.38785599,5.316788604,36.55067202,4.794537184,0,42.98647549,22.29078092,11.50823054,6.420821623,17.15896799,10.94967571,0,24.78737429,32.0465756,25.25270269,5.106527395,28.30777399,13.10354655,0.855650484,0.244326679,6.63852236,0,2.802432516,2.864940583,2,13.62735369,5.413709824,0,13.63543785,10.26000395,0.427500165,3.375433894,3188.245362,1903.147138,0.471587914,5.429893724,23.052519,3,0,3,0,5,2.752,0.611428571,0.037241098,0.066066066,0.053819444,0.033993994,0.031045752,0.014930556,0.012128084,0.010677083,0.00744822,0.454545455,3.970291914,10.10736673,58.65127793,6.5
Mol_2,29.38450831,3.139240506,3.246575342,2.810126582,2.368421053,238.5562987,198.7704957,198.7425632,7.683838658,1.992714816,1.451674599,1.288005515,161.4857167,163.8327152,164.3000659,155.5659127,159.5273273,161.9746536,-36.74976916,10.40350877,5.038781163,1.909279778,-9.540858726,-10.4065097,9.67088342,-0.96355708,-0.40753341,0.098384294,3.145391422,-1.638192605,-16.37490049,-13.07107047,44.23630345,-3.692915691,0.098268698,-0.10734072,10.03552056,-0.022457125,-0.424932856,0.052954061,-0.004889487,-0.100262236,0.044173125,0.202201063,0.206896627,-0.151340976,-0.065664787,-0.111615106,-0.016706523,-0.214461028,0.256350535,0.066698361,-0.183055632,0.001100981,-0.119853103,0.047777034,-0.067245309,0.113549359,-0.053942071,-0.173399667,-0.100871444,-0.092259394,1.397446644,1.217086167,1.141675618,1.210009751,0.945046551,0.73492771,0.532100659,1.182039605,1.127127634,1.046084715,1.130778376,0.764446783,0.609921778,0.818426657,0.507344791,0.808737017,1.098320053,0.825824247,1.015713853,1.028598492,1.239407792,0.810196811,1.090979952,1.111057459,0.589440817,1.428163105,1.253973254,1.428293867,1.086685179,1.09059661,1.014223189,-0.400714504,0.968587649,2.435534419,2.958250729,0.761332357,1.592881875,0.0397976,0.043773292,29.46884202,96.94025438,152.2670864,6,4,2,0,0,0,0,1.322915258,0.44111152,0.301455255,0.181013241,0.361049878,0.007530397,2,0,3,0,0,1.957901825,1.488402778,0,17.08550736,1.207423364,0,4.518115079,0.035883015,1.652328948,0,0.690896164,3.080674367,0.227272727,0.673913043,0.5,6.671285079,0.02173913,0.023550725,119.08,0.421052632,0.431083947,5039.710771,7,4.576617645,4.912272579,0.915982435,0.810902598,1.580469906,43.67662309,27.2839954,5.316788604,9.967957042,18.38575403,0,18.19910121,42.34073201,17.4663979,15.65511591,5.824404498,0,23.8701678,11.38785599,5.316788604,46.90709026,9.837253136,0,42.98647549,22.29078092,9.837253136,12.29761001,17.15896799,10.94967571,6.255769184,30.85374135,12.13273414,25.25270269,0,17.08550736,3.878180981,1.521374047,1.163306957,7.855022981,-3.03634304,1.37695168,0.767164574,0,14.05220981,5.085675265,0,15.74552254,10.27804836,0.446871668,3.35873709,3651.552616,2009.394523,0.323098624,5.385068293,26.834105,3,0,3,0,5,1.5433,0.407346939,0.062034486,0.063492063,0.035984848,0.033925926,0.027298851,0.015110597,0.014349848,0.011730769,0.008862069,0.454545455,3.931825633,10.01373113,57.328076,6.2
Mol_3,30.70234697,2.606896552,2.546099291,2.683760684,2.271186441,212.3897687,191.1622688,184.781451,7.260603716,1.779688216,1.340000829,1.20769123,158.5649325,167.4000004,162.4536762,162.4914224,160.1103117,161.6038041,-143.4375,-89.375,8.361979167,5.198350694,-4.845052083,-21.77213542,0.556399498,-0.327696711,-5.440785278,8.074587604,-1.954318604,-4.717803937,-32.11175923,0.914745264,41.50604628,-4.43397798,0.197517361,-0.158287724,1.266103476,-0.014559186,-0.310025081,0.133776478,-0.164299157,-0.08444197,0.035429558,0.425084746,0.110760741,0.022896224,0.220806546,0.101574708,-0.065020767,-0.178725809,0.202317606,0.005908684,0.226968987,-0.163310729,-0.200014744,-0.07256936,-0.295531946,0.186230815,-0.140204571,0.086673324,-0.011135166,-0.075683319,1.510442083,1.583181092,0.796238079,1.587008639,0.924872429,0.799021435,0.512485876,0.961988304,1.258462504,0.92990602,1.205878129,1.049080389,0.67765097,0.448546448,0.370443112,0.946208893,0.975992179,0.860058651,1.332355816,1.195114921,0.718866543,1.405626896,1.127552349,0.828124792,0.955735059,1.637314979,1.126735942,1.424401661,1.278522983,0.888689605,1.089423809,-0.388571039,0.988702108,2.435502629,1.986684033,0.787724148,1.694212266,0.037790327,0.041586736,93.13575489,28.76269595,82.46516163,6,4,2,1,0,0,0,1.699496229,0.434625733,0.305095495,0.172272228,0.306023588,0.005388687,1,0,3,2,0,2.237979773,1.668979592,-1.131809827,17.56518367,2.047829743,-0.348892117,4.7269298,0.570605237,1.719696267,0,0.769324924,3.473452145,0.211267606,0.65,0.5,5.995210024,0.026666667,0.03782716,129.06,0.333333333,0.419380789,5319.463788,6,4.256328386,4.772055209,0.839526116,0.72658624,2.077277935,36.98198824,27.18421094,10.423316,9.967957042,9.967957042,0,52.31487163,35.07913167,17.3145951,5.817862778,5.824404498,45.25574649,5.316788604,11.38785599,5.316788604,36.18241754,0,0,42.98647549,22.29078092,5.601050811,5.538925252,12.24522612,22.2842392,0,38.63484869,32.0465756,20.26872417,4.983978521,17.56518367,14.56056705,0.530197723,1.345297147,7.470144612,0,4.989511229,3.702218213,4.618802154,12.60200501,5.085675265,0,11.93461541,10.26033406,0.410413362,1.674281359,2684.06868,2219.111091,0.639016719,5.429893724,28.203761,3,0,3,0,5,3.4383,0.733877551,0.062034486,0.061111111,0.0625,0.033444444,0.033333333,0.017834596,0.014370991,0.01225,0.008862069,0.454545455,4.007333185,10.20043903,60.0220307,9
Mol_4,31.35309265,3.277777778,3.567901235,2.827956989,2.275862069,238.8563055,207.4391389,208.8714875,7.713676691,1.872059436,1.353941537,1.131856293,160.3308655,163.950633,163.6153481,152.4815892,158.6391672,165.4834818,-55.19526627,-24.60946746,-1.875739645,7.023668639,-20.07100592,-17.35502959,0.077580539,0.044218234,-0.942603385,1.146049644,4.774099771,-5.704817956,-15.902612,-12.59576528,60.61313334,-25.55854375,0.192448577,-0.023668639,0.881890608,0.003002168,-0.292654129,0.055457914,0.189288769,0.045406413,0.062091288,0.248910292,0.117639507,0.020602937,-0.181315617,-0.164278944,-0.119028449,-0.071622519,0.190495218,0.00056658,0.020026722,-0.102930962,-0.111380692,-0.115294567,0.001833448,-0.064188657,0.032471764,-0.084890903,-0.158370486,0.028047244,1.531256781,0.921954965,1.422288011,0.907898835,0.825278066,0.811612617,0.477537964,0.93146731,1.126215492,1.102186524,1.139419886,0.715504101,0.454496643,1.621335024,0.740969269,0.96255097,1.091864695,0.700737088,0.873842622,1.105398496,0.794048441,0.959516274,1.177382367,1.126729885,0.842151925,0.860400881,0.978450541,1.306938165,1.138258996,1.069776254,1.125772874,-0.388344836,0.973024607,2.435501474,1.986582904,0.74155491,1.483267221,0.049889006,0.057146914,100.0428145,8.004003837,138.1210242,7,4,2,3,0.176776695,0.102062073,0.011410887,1.684247259,0.432528536,0.27366143,0.173030733,0.285805963,0.005116309,3,0,3,1,0,1.854964805,1.427782974,-0.944378228,17.22248259,0,-0.944378228,4.579282407,0.586808941,1.649997402,0,0.66821712,3.150419737,0.268656716,0.6875,0.5,6.562844391,0.034722222,0.042094017,177.07,0.538461538,0.449592455,5162.762069,6,4.45810318,4.92642786,0.912676757,0.785925404,1.504385499,41.95526023,26.10088374,10.423316,9.967957042,14.76249423,0,37.46156607,29.54020642,11.71354429,11.35678803,5.824404498,24.80139012,5.316788604,11.38785599,5.316788604,36.55067202,4.794537184,0,42.98647549,22.29078092,11.50823054,0,30.00061124,17.37049733,0,30.85374135,12.13273414,25.25270269,0,28.8948671,13.48695522,0.540308799,0.191299971,8.708529415,0,0,0,0,16.36548225,5.798364453,0,13.71136666,10.30301418,0.429292258,3.408352476,2289.594914,2010.762091,0.58927823,5.45157479,21.046105,3,0,3,1,4,2.506,0.532244898,0.024691358,0.078078078,0.044871795,0.040888889,0.025848765,0.012315538,0.008994709,0.0066875,0.008230453,0.5,4.007333185,10.38421473,59.42129624,5.9
Mol_5,28.56938949,2.669724771,3.117647059,2.417475728,1.93814433,219.6816912,197.1757301,177.82449,7.489166635,1.818415579,1.292441354,1.078451675,159.6509806,165.2392858,166.4122627,151.7480473,159.5618207,166.412231,-135.4931588,-65.55086258,6.618679358,13.39440809,-27.67162403,-20.11600238,-8.358425871,-0.684669961,-2.218061841,1.875671409,7.012078908,-6.808638988,-17.47944726,-15.4291452,69.35339593,-27.65225701,0.251829614,-0.041157387,1.938148586,-0.004376913,-0.397069242,0.124688558,0.109547606,0.034666274,-0.029611014,0.464073092,0.209389166,0.11714529,0.208972616,-0.421667859,-0.019539537,-0.065935164,0.250263021,-0.205170905,0.18154617,-0.183623882,-0.140911394,-0.015503619,0.054406647,-0.122736152,-0.105773054,0.073510573,-0.201156964,0.024867386,1.55161037,1.510675141,1.190860473,1.010610822,0.767175844,0.764139606,0.448073734,0.877953632,1.188759722,1.208572339,1.149269524,0.918374069,0.715866071,0.85327129,0.883725398,1.112921759,1.239553216,0.816805238,1.072074582,1.247799185,0.75991795,0.862522642,1.180920352,1.281417536,0.901551379,1.281889407,1.109244888,1.426489178,1.196150813,1.027722646,1.144933973,-0.388579409,0.987440664,2.435503307,1.986316792,0.990405057,1.696192677,0.038521948,0.040809937,3.579890336,82.90121557,60.60516324,6,4,2,1,0,0,0,1.718159041,0.441185341,0.288821657,0.183087111,0.308024311,0.005326598,1,0,3,1,0,2.459697184,1.813005952,-0.04160045,17.56687227,2.160954743,-0.04160045,4.72650463,0.994216349,1.745254118,0,0.832143802,3.526577145,0.238095238,0.659090909,0.5,5.732068689,0.022727273,0.021343874,114.05,0.390243902,0.451914936,4480.718958,5,4.204278529,4.71695048,0.862220189,0.741178292,1.980853836,36.51823615,24.92812762,5.316788604,9.967957042,9.967957042,6.9237372,38.46739723,35.07913167,11.71354429,5.817862778,5.824404498,32.73095847,5.316788604,11.38785599,5.316788604,25.47483934,0,0,42.98647549,22.29078092,0,5.538925252,5.824404498,28.70506082,0,24.78737429,18.19910121,41.03993577,4.983978521,17.56687227,4.507439295,1.733235623,1.517004913,8.020199358,0,4.151412118,3.127708156,2.381101578,12.60200501,5.085675265,0,10.24654078,10.24654078,0.465751854,0,2253.933619,1513.348659,0.672518694,5.389642343,24.190933,3,0,3,0,4,3.6873,0.570612245,0.012345679,0.071895425,0.038602941,0.040573477,0.03125,0.014467593,0.010240075,0.009479167,0.012345679,0.5,3.891820298,10.04754461,56.29411019,9
Mol_6,29.85033593,3.03030303,3.352941176,2.721649485,2.222222222,229.0293157,195.6676008,206.6346119,7.530935953,1.849168487,1.317386723,1.116646782,160.4948752,165.3762994,163.6562497,152.7264895,159.6391699,165.4102226,-85.7075,-16.675,3.583125,8.086875,-19.246875,-14.889375,1.253689236,0.024855527,-1.941455672,3.378241566,4.115433968,-5.646685326,-17.92747551,-8.995897024,61.25452134,-22.48776316,0.170973837,-0.034652778,1.381539709,-0.011570518,-0.292639747,0.074504877,-0.077484635,-0.055717861,0.0177314,0.279612765,0.029575272,0.025486525,0.193927265,-0.223168387,-0.132178377,-0.126986801,0.022081014,0.015760461,0.045752688,-0.083942463,-0.105094514,-0.107047411,-0.202239653,0.062053366,-0.065022229,-0.042860718,-0.170561506,0.011253582,1.43397324,1.329906036,0.882980339,1.294975196,0.793139657,0.782573279,0.541523807,0.938582711,1.36273776,1.181013639,1.075776669,0.95811135,0.83447506,0.518445669,0.541695613,0.844405121,1.049121239,0.762516809,1.132064676,1.160260091,0.83201869,1.109729379,1.114188961,1.19732833,0.953714439,1.275081589,1.006296286,1.331943649,1.15909809,0.999491507,1.116416489,-0.388557196,0.993589606,2.435500128,1.986525444,0.787945864,1.448704241,0.047328224,0.04722816,142.159437,200.4285248,112.408414,6,4,2,3,0.144337567,0,0,1.714788552,0.428028524,0.279638147,0.170767488,0.292835598,0.005275131,2,1,3,1,0,2.324152284,1.722875094,-0.139401376,17.50346927,2.098176965,-0.139401376,4.703798658,0.716438571,1.725035773,-0.234318322,0.7919298,3.483799367,0.276923077,0.684782609,0.5,6.005262848,0.028985507,0.041623188,170.06,0.525,0.449631284,4777.320453,6,4.58418372,4.903055907,0.902502969,0.808152323,1.610159299,39.26997317,25.11740953,10.423316,9.967957042,9.967957042,0,37.96448165,35.07913167,17.81751068,5.817862778,5.824404498,31.40827209,5.316788604,11.38785599,5.316788604,36.68533312,0,0,42.98647549,22.29078092,0,11.64289164,18.66604774,22.2842392,0,24.78737429,18.19910121,27.19246137,4.983978521,17.50346927,14.03248268,1.562343501,1.414337207,8.126581203,0,1.771229728,1.432470291,1,15.34758625,5.413709824,0,12.02676889,10.28554735,0.447197711,1.741221542,2339.860604,1905.880002,0.538341927,5.43862264,22.184519,3,0,3,1,3,2.4121,0.527346939,0.024793388,0.064814815,0.0625,0.036632997,0.029882155,0.013760288,0.010917947,0.010416667,0.008264463,0.454545455,3.970291914,10.34955063,58.26956793,8.5
Mol_7,31.88859676,3,3.240384615,2.644067797,2.372727273,225.0751347,211.8565071,212.2534264,7.485636538,1.837023795,1.29517193,1.178257189,158.6434042,165.170283,163.7904064,152.7500511,161.9062952,165.9657303,-121.4898765,-108.1753086,9.264691358,7.127407407,-25.02271605,-16.8454321,-0.899982853,-0.419026012,-3.714531233,5.253130921,2.731615022,-5.041659006,-23.76545852,-8.914728316,67.90503625,-13.17870298,0.300030864,-0.194725028,1.959584782,-0.008213515,-0.350136523,0.191131087,-0.092948337,-0.000697271,8.61E-05,0.492828137,0.242411995,0.114911923,0.199256216,-0.265488654,0.067115991,-0.153779835,0.34578706,-0.019994073,0.272809274,-0.038707312,0.024386485,-0.059623605,-0.280394232,0.032385782,-0.110141397,0.136265376,-0.297932354,0.086271842,1.650925431,1.640952454,0.911551152,1.381382255,0.971038055,0.925935685,0.416066282,0.882101178,1.535932997,1.231127107,1.072295753,0.999756964,0.598073415,0.593250514,0.764656121,1.182918009,1.05255439,0.790422707,1.14733958,1.209643282,0.650787043,1.21113244,1.051226592,1.280111058,0.974093594,1.420333426,1.044771623,1.385994698,1.258815573,0.971606447,1.056931952,-0.387852594,0.989338851,2.431654168,2.002076609,0.990417683,1.527102094,0.043332478,0.04395954,9.450544621,241.7834199,63.94240485,6,5,3,0,0,0,0,1.61291211,0.425772673,0.284844457,0.163583987,0.294952002,0.004939452,0,0,4,1,0,3.459260676,3.640136855,-0.112462601,18.21257086,2.113758241,-0.112462601,4.841912793,0,1.763958071,0,0.816565098,3.48928225,0.336134454,0.68,0.5,6.644346404,0.024,0.036740741,184.06,0.422222222,0.467552325,5397.094948,5,4.451986707,4.646539763,0.837985874,0.763255727,1.884310834,38.50833199,27.62232314,10.30076712,4.983978521,14.95193556,0,45.89405,39.96244031,11.71354429,11.46504,5.824404498,33.23387405,5.316788604,11.38785599,5.316788604,30.45881786,0,6.9237372,36.78963192,33.32418236,0,5.538925252,5.824404498,39.01156863,0,18.59053071,25.12283841,41.03993577,9.967957042,21.52673584,5.470063093,3.523246397,1.482907691,5.316131845,0,3.568930959,6.834511134,2.459152612,12.81363405,11.42443143,0,12.32296957,12.32296957,0.492918783,0,3369.273558,1522.951327,0.81466525,5.785554456,25.76414,3,1,3,0,2,4.08692,0.886575964,0.037037037,0.063492063,0.06199187,0.039363144,0.030363248,0.017333681,0.011459751,0.008806818,0.009259259,0.5,4.043051268,10.3220992,74.65904001,8.7
Mol_8,32.25067765,3.077669903,3.716049383,2.886597938,2.379310345,237.1258342,225.398144,224.9435156,8.236616938,1.737325066,1.163441177,0.940250565,169.2541549,184.8146493,177.4010089,160.646696,176.0482024,187.3702033,21.03550296,-13.79289941,-1.311637081,13.4365549,-24.97633136,-12.38001315,-83.18626726,-0.475365431,-4.328192164,4.968256771,3.873721,-7.340820396,-30.20843485,-19.71451307,92.72677796,-80.69444964,0.122127612,-0.051939513,0.001936275,0.009676506,-0.522166091,-0.069672992,0.058232513,0.054242632,-0.008361339,0.272480827,0.331231591,-0.000678848,-0.196526874,0.014461627,-0.076667338,-0.106914124,0.469786761,-0.170161223,0.313288318,0.014839159,0.019687295,-0.063961144,0.001059279,-0.018085821,-0.009117124,0.171727876,-0.249169389,-0.194392587,1.744725809,1.111037954,0.867184539,0.899320102,0.843871667,0.938076785,0.318298969,0.764485917,0.975300687,0.931241185,0.996648394,0.641054425,0.37126017,1.276931356,0.679540998,0.857487076,1.265248397,0.547413991,0.78288102,0.968683868,0.45894558,0.967212293,1.179788291,1.342913882,0.629588751,0.63179596,1.100454419,1.043025901,0.928874211,0.97160365,1.058926475,-0.387132489,0.987136033,2.435912032,1.984596561,0.524608595,1.798389033,0.037884162,0.054548476,8.453653125,0.565433976,46.13577534,5,3,2,0,0,1.251734607,0.083587299,2.041494927,0.427579189,0.295766076,0.173236487,0.257929857,0.004051478,0,0,4,3,0,-2.459269692,0.264284769,-11.81573944,14.8443441,0.889681595,-2.390796958,3.989840797,0,0.92960282,0,0.080832389,2.246012141,0.258302583,0.685185185,0.5,6.707424953,0.06984127,0.050793651,139.12,0.384615385,0.45788491,7058.142669,5,4.592593244,4.592593244,0.868920293,0.82231407,1.276267628,47.24416304,37.57685633,5.316788604,10.08266033,9.967957042,0,19.91384147,17.77991136,17.27699578,11.35678803,11.51833249,31.73899669,5.316788604,11.38785599,5.316788604,36.86452295,6.176298517,0,24.65689778,22.29078092,34.97330627,16.72078771,0,20.04431797,18.46005421,0,0,30.46608778,0,11.7029658,7.648225387,-4.066548131,-0.70268613,-5.957883598,0,1.34275677,2.487632117,2.381101578,8.100966667,6.813689581,0,22.38357551,12.29136453,0.455235723,0,3358.085261,1984.331497,0.698118013,5.502532908,23.276484,2,1,2,0,3,4.1865,1.218820862,0,0.106280193,0.047403382,0.052364341,0.03223545,0.02098197,0.018770471,0.014330908,0,0.5,4.077537444,10.46507283,76.49675282,7.9
Mol_9,30.33519681,3.37037037,3.575342466,2.75,2.277777778,243.0838329,216.5441176,231.9632582,7.758601425,1.881307283,1.263597834,1.057242457,164.5024143,168.4301261,166.0739282,153.8956095,165.5369718,173.4579639,-36.5,-16.5,5.449074074,8.034722222,-21.01774691,-9.740740741,-10.25443673,-0.389513009,-1.400092637,2.915308765,2.759193283,-4.73891135,-5.626896146,-12.71672573,66.30894447,-21.23687828,0.190230294,-0.029320988,1.294355056,0.014075989,-0.423188469,0.055254978,0.071248103,0.061776608,0.021614758,0.309041835,0.180921053,0.226720648,0.211176088,-0.130497477,-0.141319068,-0.03275189,0.066640519,-0.05629306,0.126446828,0.061512558,0.036278842,-0.055760091,-0.024139311,0.054202797,0.036090207,-0.047698719,-0.183361315,-0.080369263,1.478800394,1.314385053,1.053515669,1.074439949,0.763076391,0.819500225,0.354251012,0.673076923,1.142285862,1.184436938,0.999458288,0.525366159,0.549496082,0.737299525,0.610572463,0.881771761,1.258138079,0.611735331,0.882310573,1.133739076,0.664131904,1.023717251,1.103739576,1.290747381,0.612644241,0.755637681,1.00068674,1.080886862,0.976779587,0.916558358,0.98211713,-0.387527952,0.992544636,2.435425821,1.986912889,0.543432603,1.490876146,0.041923534,0.046542501,14.18368107,71.30106691,99.92678355,6,4,2,2,0.426776695,0,0,1.344886407,0.425240846,0.272971753,0.175364924,0.279245922,0.004631402,2,0,5,1,0,-1.534541696,1.368223734,-0.010058146,16.06090396,2.091759784,-0.010058146,4.41400463,1.03884855,1.194297328,0,0.570250378,3.368762283,0.331081081,0.695652174,1.5,6.261850104,0.040372671,0.024327122,170.07,0.555555556,0.492032886,4964.600708,5,4.537844793,4.926733682,0.909976732,0.816954218,1.368364581,44.52515126,24.91670938,5.316788604,4.983978521,19.34235061,0,31.89811458,23.31883661,17.27699578,5.817862778,11.64162534,25.3043057,5.316788604,11.38785599,5.316788604,25.47483934,0,11.76491819,30.72326485,22.29078092,11.76491819,16.92678124,11.3345635,18.22786746,12.26321064,18.46005421,0,32.17643989,0,16.06090396,4.166735639,0.539130252,-1.513479715,6.502989851,0,1.538744582,1.349950873,1,13.10637509,8.644681517,0,13.75888093,10.22483679,0.444558121,0,3126.930928,1202.094857,0.607119177,5.482200204,20.397691,3,0,3,1,3,3.3294,0.610612245,0,0.095679012,0.046358859,0.042285714,0.027875817,0.015657705,0.012234137,0.0078125,0,0.444444444,3.970291914,10.29967644,77.4835364,6.8
Mol_10,26.83848121,3.319444444,3.318181818,2.493150685,1.929824561,246.8688911,209.9739732,236.487104,7.559732636,2.023052889,1.387874822,1.137474251,159.4328554,164.776245,158.9707951,150.4933169,161.0830674,166.808057,-75.29772472,18.78971534,6.029384757,7.876033058,-20.57575758,-8.382001837,1.613528665,0.191015447,-3.140178404,5.67036402,2.536609475,-2.202145142,-22.83048699,9.63468782,39.65485713,-8.395139363,0.191460055,0.076361703,3.413655969,-0.004033699,-0.349985118,0.068711358,-0.061872436,-0.004574896,-0.041046989,0.33508411,0.102595071,0.100368509,0.237017912,-0.329568369,-0.152351397,-0.005393225,0.147894841,0.060814555,0.073541348,-0.390334024,-0.079026316,-0.073239242,-0.232247643,0.05418228,-0.119761989,-0.009241215,-0.259919528,-0.079948335,1.494549362,1.433394534,1.009291245,1.245686157,0.726114539,0.741647857,0.491180264,0.864531807,1.432296038,1.350985915,0.927030677,0.824729611,0.829753095,0.673697783,0.774585284,1.215243614,1.033455442,0.68502994,0.902671967,1.176811934,0.842344001,0.911749691,1.930953211,1.303345456,0.90291051,1.193205847,0.848867596,1.262064303,1.196605669,0.857807407,0.990723987,-0.386722811,0.995942507,2.436163459,2.93626865,0.990483655,1.47524342,0.042868661,0.046306366,6.143140423,74.44099677,64.02797514,5,3,1,2,0.426776695,0,0,1.399394243,0.423256295,0.272331652,0.173474554,0.321876847,0.006436929,2,0,3,1,0,2.569725057,1.874111395,0.176114182,17.53065897,2.216768786,0.176114182,4.689143519,1.180030392,1.776265668,0,0.858935185,3.542916667,0.254237288,0.7,0.5,5.001216194,0.008333333,0.024444444,149.06,0.575757576,0.473267167,4301.949574,6,4.536670256,4.779094498,0.923377965,0.836057668,1.31094318,42.924927,23.97287155,5.316788604,9.967957042,9.967957042,0,25.83174751,23.31883661,22.10123076,5.817862778,5.824404498,25.3043057,5.316788604,10.70155169,5.316788604,25.47483934,0,0,30.16743706,21.60447662,0,5.538925252,5.824404498,21.5979349,12.84164325,35.43785587,6.066367068,32.17643989,0,18.50265255,4.558092876,2.828142991,1.597731481,7.712497559,0,1.538744582,1.116645971,1,10.5964807,5.085675265,0,12.24058188,10.22157761,0.511078881,0,1946.090275,1361.736571,0.471839321,5.370928684,20.631691,2,1,2,1,3,3.1127,0.400045351,0,0.082437276,0.033234127,0.039885057,0.024662698,0.01113362,0.005102041,0,0,0.375,3.850147602,10.11362691,74.34627486,6.8
